term	estimate	low	high
GABA_static.bed.1	0.134	-0.916	1.185
NmCp_glut_static.bed.1	0.448	-0.687	1.584
NPC_static.bed.1	0.668	-0.163	1.499
NpCm_glut_static.bed.1	0.601	-0.211	1.412
