Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p
NmCp_glut_static_ucsc,0.00577454820447,0.0740825362311,0.0158555985453,12.8291484646,2.7457729997,3.200860712008339e-05
NpCm_glut_static_ucsc,0.0172110826099,0.136670805046,0.0224766452564,7.94086044111,1.30594023431,3.922436420351745e-07
DA_540k_1vs0_GABA_annotated_ucsc,0.00112310374543,0.0168379936463,0.00494484063071,14.992376007,4.40283513507,0.0017512082335033
DA_540k_1vs0_NEFMm_annotated_ucsc,0.00222976773476,0.0255247566858,0.00645868274483,11.4472715198,2.89657198108,0.0004351170968116
GABA_static_ucsc,0.0101653051026,0.115837339381,0.0199991333097,11.3953627768,1.96739134811,3.300816973375839e-07
DA_540k_6vs0_NEFMp_annotated_ucsc,0.00510655729867,0.078195153533,0.0123488723849,15.3126948274,2.41823828905,1.4587211074899091e-08
DA_540k_6vs0_GABA_annotated_ucsc,0.00179377869304,0.0359938586867,0.00678670397793,20.0659417053,3.78346782927,1.0675315726082833e-06
DA_540k_1vs0_NEFMp_annotated_ucsc,0.00353689609688,0.0339648495649,0.00866761870589,9.60301027638,2.45062859311,0.0006021334638128
DA_540k_6vs0_NEFMm_annotated_ucsc,0.00318864167186,0.0447778084976,0.0101799586506,14.0429101497,3.19256903039,7.390840451622839e-05
