Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
baseL2_0	1.0	1.0	0.0	1.0	0.0	NA
Coding_UCSCL2_0	0.0142591398753	0.0656249601439	0.0147881939597	4.60230846445	1.03710280487	0.00073841654504386
Coding_UCSC.extend.500L2_0	0.063622023838	0.139409609403	0.0217992648736	2.19121620146	0.34263708632	0.0006252306075949498
Conserved_LindbladTohL2_0	0.0246705380615	0.331991859005	0.0363029008425	13.4570173613	1.47150827242	1.3293454121307019e-14
Conserved_LindbladToh.extend.500L2_0	0.330201895303	0.674907562627	0.0361163371401	2.04392395146	0.109376528887	3.351210799404279e-18
CTCF_HoffmanL2_0	0.0238146642289	0.00217153585659	0.0238908921979	0.0911848193918	1.00320088363	0.36360081103120323
CTCF_Hoffman.extend.500L2_0	0.0707944545683	0.0823961115903	0.0251976502648	1.16387804797	0.355926893122	0.6457342907290013
DGF_ENCODEL2_0	0.135362603145	0.28905670099	0.0633386395596	2.13542510468	0.467918303047	0.01654529856713752
DGF_ENCODE.extend.500L2_0	0.538223523311	0.678784022432	0.0490292969481	1.2611563654	0.0910946750273	0.005697513318235984
DHS_peaks_TrynkaL2_0	0.109959824927	0.144828752396	0.0563102665451	1.31710606572	0.512098546744	0.5365792905418066
DHS_TrynkaL2_0	0.165742769149	0.268519744966	0.0613250925106	1.62009930414	0.370001616513	0.09593866844135013
DHS_Trynka.extend.500L2_0	0.495805429783	0.779815808622	0.047817357295	1.57282627777	0.0964437951314	2.5261950033013508e-08
Enhancer_AnderssonL2_0	0.00431375844865	-0.00895504020383	0.0106908812755	-2.07592527733	2.47832172404	0.21478012873618774
Enhancer_Andersson.extend.500L2_0	0.01902264308	0.0186476918445	0.0141965003205	0.980289214601	0.7462948372	0.9789390058000094
Enhancer_HoffmanL2_0	0.0419232233195	0.0485014799803	0.0249046770351	1.15691199626	0.594054441981	0.7916534904571388
Enhancer_Hoffman.extend.500L2_0	0.0898053549654	0.120987619846	0.026390667125	1.34722055152	0.293865183598	0.2368532811805086
FetalDHS_TrynkaL2_0	0.0836828878411	0.265503385205	0.0454085142979	3.17273210873	0.542626043023	0.0001053960499464465
FetalDHS_Trynka.extend.500L2_0	0.283200297123	0.550490342108	0.0463304857061	1.94381979009	0.163596176193	2.820276589163958e-08
H3K27ac_HniszL2_0	0.389043808427	0.504452238015	0.0215149208338	1.29664635984	0.0553020517683	4.867724385873209e-07
H3K27ac_Hnisz.extend.500L2_0	0.420459175808	0.547681197303	0.0230268943852	1.30257877296	0.054766064603	1.7861547905433825e-07
H3K27ac_PGC2L2_0	0.268521272457	0.401255520936	0.0343986097448	1.49431557978	0.128103853486	0.00021309194632805614
H3K27ac_PGC2.extend.500L2_0	0.335144726051	0.530240191787	0.0294165876674	1.58212303692	0.0877727900242	1.04719733207459e-09
H3K4me1_peaks_TrynkaL2_0	0.168870181117	0.450532742706	0.0525879329171	2.66792360691	0.311410413426	2.6973604574938845e-07
H3K4me1_TrynkaL2_0	0.423455069727	0.679089510222	0.0421201904527	1.60368728295	0.0994679092632	1.597427542749254e-08
H3K4me1_Trynka.extend.500L2_0	0.605700669954	0.771290945809	0.0294860290388	1.27338631781	0.0486808592122	1.4882537418579519e-07
H3K4me3_peaks_TrynkaL2_0	0.0413684654276	0.17104695899	0.0388342136753	4.13471849202	0.938739527171	0.0010511884211381953
H3K4me3_TrynkaL2_0	0.132886742326	0.335391462217	0.0379342462451	2.52388956449	0.285462985856	3.384481491287117e-07
H3K4me3_Trynka.extend.500L2_0	0.255041175718	0.358252982941	0.0359949693642	1.40468683903	0.141133953225	0.005116251894814606
H3K9ac_peaks_TrynkaL2_0	0.0381863661077	0.221486960978	0.0320449268502	5.80015810758	0.839171937961	5.1211310464962524e-08
H3K9ac_TrynkaL2_0	0.125302311178	0.296571963578	0.0372841511197	2.3668515033	0.297553578774	7.627539602429519e-06
H3K9ac_Trynka.extend.500L2_0	0.229772096332	0.443768322378	0.0281463896392	1.93134122664	0.122496987617	1.8158386533115472e-11
Intron_UCSCL2_0	0.38745133287	0.522379079081	0.0183242184755	1.3482443723	0.0472942455502	5.434201839027166e-12
Intron_UCSC.extend.500L2_0	0.396791630621	0.534627186169	0.0143935314905	1.34737515842	0.036274786008	1.1238285768216862e-17
PromoterFlanking_HoffmanL2_0	0.0082769139357	0.0321237353803	0.0148880685482	3.88112473197	1.79874632791	0.10938064691686668
PromoterFlanking_Hoffman.extend.500L2_0	0.0331641883734	0.0599892710745	0.0189750693613	1.80885690309	0.572155396888	0.1570383726530068
Promoter_UCSCL2_0	0.0463352847995	0.073896769719	0.0223534730209	1.59482713959	0.482428739083	0.22262195896012776
Promoter_UCSC.extend.500L2_0	0.0569251717661	0.0949507184251	0.0184809472192	1.66799177726	0.324653341322	0.043462696858279366
Repressed_HoffmanL2_0	0.460018093797	0.441719343905	0.0581833905326	0.960221673585	0.126480656559	0.753150529364559
Repressed_Hoffman.extend.500L2_0	0.718455588922	0.592282413619	0.0220910976382	0.824382777101	0.0307480350614	3.6365337517964975e-08
SuperEnhancer_HniszL2_0	0.167206746205	0.225664053733	0.0140677904039	1.34961093888	0.0841341077629	6.433070239311552e-05
SuperEnhancer_Hnisz.extend.500L2_0	0.170380122389	0.232863289365	0.0136945352949	1.366728032	0.0803763672832	1.2380958244380038e-05
TFBS_ENCODEL2_0	0.130971510741	0.273595366047	0.0453082984075	2.08896854361	0.345940106753	0.0018421699565018947
TFBS_ENCODE.extend.500L2_0	0.341041398158	0.403976300714	0.0424895367111	1.18453742829	0.124587621739	0.14000877480050797
Transcr_HoffmanL2_0	0.345192604324	0.359204221487	0.0484656408227	1.04059072236	0.140401735772	0.7723317652192426
Transcr_Hoffman.extend.500L2_0	0.761903180237	0.796258721585	0.0291010554958	1.04509174163	0.0381952146292	0.23815835194256565
TSS_HoffmanL2_0	0.0178069398921	0.0793134088595	0.0198100649047	4.45407292551	1.1124912548	0.0023260390972569462
TSS_Hoffman.extend.500L2_0	0.0343386244185	0.117247033651	0.0168390204307	3.41443594892	0.490381333437	1.8707115453016223e-06
