term	estimate	low	high
GABA_1v0hr.bed.1	1.107	-0.313	2.528
GABA_6v0hr.bed.1	0.383	-0.747	1.512
NmCp_glut_1v0hr.bed.1	2.474	1.092	3.857
NmCp_glut_6v0hr.bed.1	0.138	-1.564	1.84
NPC_1v0hr.bed.1	1.042	-6.703	8.787
NPC_6v0hr.bed.1	1.202	-1.516	3.919
NpCm_glut_1v0hr.bed.1	0.4	-1.052	1.852
NpCm_glut_6v0hr.bed.1	-0.151	-1.659	1.357
