term	estimate	low	high
GABA_1v0hr.bed.1	1.148	-0.267	2.562
GABA_6v0hr.bed.1	0.664	-0.348	1.676
NmCp_glut_1v0hr.bed.1	2.612	1.275	3.95
NmCp_glut_6v0hr.bed.1	0.112	-1.617	1.841
NPC_1v0hr.bed.1	1.615	-3.004	6.234
NPC_6v0hr.bed.1	1.067	-1.687	3.82
NpCm_glut_1v0hr.bed.1	1.449	0.347	2.551
NpCm_glut_6v0hr.bed.1	0.517	-0.539	1.573
