term	estimate	low	high
GABA_1v0hr.bed.1	1.446	-0.869	3.762
GABA_6v0hr.bed.1	1.081	-0.846	3.008
NmCp_glut_1v0hr.bed.1	-3.061	-17.245	11.124
NmCp_glut_6v0hr.bed.1	1.701	-0.699	4.1
NPC_1v0hr.bed.1	1.082	-14.221	16.386
NPC_6v0hr.bed.1	-2.069	-22.871	18.734
NpCm_glut_1v0hr.bed.1	2.26	0.373	4.146
NpCm_glut_6v0hr.bed.1	1.153	-0.702	3.008
